Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
Afghanistan,AFG,32.45,500.52298078433,18.51,74.23410411,14.8313194,11238.83,0.297563650500103,72,72,64,0.2125,4.87,45.6495836221902,51.0034810931108,73.7846429967308,26.9,23.8,7.5,40.1,52.41704109,..,..,..,..,59.9,80677,76.818367,57.02542754,37769499,19090409,18679089
Albania,ALB,81.6,5396.21422690995,40.11,..,..,4993.3,1.74946245713759,99,99,95,1.6471,1.414,..,99.1830688799465,94.7582247174548,4.3,23,6.2,39.8,18.63878032,..,..,..,..,9.4,284,..,..,2854191,1428828,1425364
Algeria,DZA,99.7,4021.98360796603,0.16,250.56077576,6.25170851,170582.4,3.99440182789199,91,91,80,..,2.988,84.5075609540377,86.1385043463065,94.2391398601614,2.5,21,0.7,41.3,32.83308539,12.8509502410889,24.826940536499,57.5232810974121,42.6240081787109,23.5,23456,33.39915466,83.68518506,42705368,21756903,20948465
American Samoa,ASM,..,13672.576657298,0.5,..,..,..,..,..,..,..,..,..,..,54.1660011590391,99.2447518116509,..,..,..,..,6.300155035,..,..,..,..,..,..,..,..,47321,23535,23786
Andorra,AND,100,41328.6004993451,18.46,3061.79052734,7.40840626,479.984,6.2872038038851,99,98,99,..,..,..,99.9999967920626,99.9999967920626,..,32,28.3,35.6,9.066401367,..,..,..,..,3,2,12.59578514,385.65656984,76343,38842,37502
Angola,AGO,49.3,2142.23875712854,54.39,69.37934113,2.65592647,24382.9,0.753638205444169,57,53,51,..,5.442,26.9597996146697,51.3936226824603,56.8830374949169,17.9,..,..,..,28.4208104,..,..,..,..,75,93053,37.88715363,26.28585701,32353588,15983035,16370553
Antigua and Barbuda,ATG,100,18187.7797117112,0.69,801.54382324,4.37567186,509,5.52558159731646,95,99,93,..,1.468,..,97.3994801016802,98.3650387230105,..,..,..,..,17.59200058,..,..,..,..,6.6,7,24.26510048,194.49540733,92117,43961,48156
Argentina,ARG,99.9,9963.67423069626,10.74,958.52349854,9.47170544,168162,3.74202981162433,83,83,86,4.0685,1.994,..,..,..,3.5,24.9,19.9,29.8,13.51118918,..,..,..,..,8.6,5778,26.80958176,256.97613569,44938712,22249019,22689693
Armenia,ARM,98.1,4828.50488860645,10.34,549.47436523,11.3798008,6195.6,2.1965523671897,92,92,95,..,1.575,94.4004987283622,93.8578716530954,99.9281719305937,3.1,25.8,1.5,50,33.65637939,..,..,..,..,11.8,444,84.79430389,465.9229727,2820602,1274767,1545834
Aruba,ABW,..,31902.7625819564,8.18,..,..,..,..,..,..,..,..,1.486,..,98.7217883612824,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106442,50188,56254
Australia,AUS,100,54941.0657202842,10.06,5555.37402344,10.22989082,395199.1,15.595726745355,95,95,94,3.8503,1.657,..,100,99.9698543658953,2.5,14,11.9,16,6.745497859,35.4619789123535,77.8000411987305,..,93.8737487792969,3.8,1171,14.69235134,816.21512256,25340217,12570509,12769708
Austria,AUT,100,50070.4033482892,33.98,5262.05419922,10.47507858,64497.8,7.26333120118199,85,85,95,5.2734,1.46,..,99.9727098850505,99.9999965908061,2.5,27.1,25.6,28.6,12.16821803,15.3087100982666,75.3927764892578,..,..,3.6,305,17.90847397,942.35369785,8879920,4367938,4511982
Azerbaijan,AZE,98,4805.75371765917,1.62,191.75552368,4.0731144,35521,3.54349533028946,94,94,98,3.1678,1.81,..,96.1290294533043,95.667747770716,2.5,24.2,0.1,48.2,25.4950546,12.4977598190308,84.8778915405273,97.8473815917969,93.6227416992188,20.4,3001,68.31981659,131.00702176,10024283,4948191,5076093
"Bahamas, The",BHS,100,32279.0113630465,1.18,1921.1270752,5.90402126,2622.7,6.48289363427156,89,89,83,..,1.398,..,94.9305823307593,98.8869604973405,..,10.7,2.5,18.8,15.59065792,..,..,..,..,23.4,111,26.35405159,506.29479621,404557,193737,210821
Bahrain,BHR,100,25869.1129129041,0,1024.39054519,3.95980344,32966.8,22.063354812112,99,99,99,..,1.857,..,100,99.921837339959,..,15.2,4.6,25.7,59.21710593,..,..,..,..,7.1,144,29.97935416,307.10566954,1494188,933409,560779
Bangladesh,BGD,23.5,2122.0783861524,26.37,47.66782379,2.620749,92645,0.559733655592985,98,98,97,0.6367,2.031,55.1293324449055,54.9102399606066,97.8251365713411,11,35.2,17.9,52.5,63.4255285,6.6717700958252,26.8390102386475,57.3168601989746,41.1294212341309,30.4,91820,72.05020905,34.34476444,165516222,82164179,83352043
Barbados,BRB,100,19002.9623813263,2.79,1171.25622559,6.1940732,1167.27,4.16614319366122,90,90,92,..,1.623,..,98.0924623115578,98.5144504186196,3.7,8.5,1.9,15,21.34389367,..,..,..,..,12.7,39,46.72623062,547.28390409,280180,134222,145957
Belarus,BLR,99.6,6837.76723174438,7.81,390.24972534,5.86133814,57681.2,6.12342695003417,98,97,98,4.5382,1.382,..,99.3407614255289,98.3919868544727,2.5,30.9,13.6,48.2,16.42351285,29.872350692749,93.8744812011719,99.7609024047852,97.4785385131836,3.1,310,25.69003105,100.25527491,9419758,4350290,5069468
Belgium,BEL,100,46641.7116578097,10.2,4983.65673828,10.6635952,92989.4,8.09379074556662,97,97,96,3.1495,1.6,..,99.4861988308489,100,2.5,23.9,21.4,26.3,12.6724532,36.8619995117188,70.5602569580078,96.3382873535156,87.210319519043,4.1,483,18.97733116,945.76503137,11488980,5667234,5821746
Belize,BLZ,83.1,6210.56554311929,30.43,303.53390503,6.07060003,736.2,1.89208291034323,98,98,96,..,2.106,90.2699941627287,88.1985036524971,98.4005497674635,6.8,8.8,1.9,15.6,21.17639652,..,..,..,..,12.3,94,23.93080711,72.63811297,389095,195944,193151
Benin,BEN,4.8,1170.96553298105,46.47,27.17067146,2.32052207,7475.5,0.60823677321991,76,76,68,0.0647,5.13,11.4661562923965,18.6298545928192,66.672267150753,7.7,7.2,2,12.3,46.8584555,1.68247997760773,3.86528992652893,17.3519496917725,8.46360969543457,88.6,39723,46.20043564,12.55296802,12290444,6152125,6138319
Bermuda,BMU,..,116153.166121638,0.81,..,..,..,..,..,..,..,..,1.3,..,99.9416526015971,99.9031400170636,..,..,..,..,7.069562328,..,..,..,..,..,..,..,..,63911,30926,32985
Bhutan,BTN,84.6,3303.96230868215,82.85,115.32080841,3.60361075,1433,1.86720072342627,97,97,97,0.46,1.46,90.9107377742463,75.403670277365,98.872312239386,..,..,..,..,40.29859817,..,..,..,..,28.5,298,17.79043007,20.51606702,767459,407103,360356
