"year","country_name","country_code","co2_per_capita","gdp_per_capita","pm2_5","mortality_rate_infant","mortality_rate_neonatal","mortality_rate_under_5","health_expenditure_percent_of_gdp","population","immunization","basic_sanitation","region","income_level"
2010,"VENEZUELA, RB","VEN",5.71483455593382,13692.9149666211,23.04711653,14.7,10.5,17.1,6.83106947,28715022,"79","91.8520804597885","Latin America and Caribbean","Not classified"
2010,"AFGHANISTAN","AFG",0.304230215945755,554.59473461788,51.82178913,64.2,47.4,87.8,8.56967163,28189672,"62","35.4774709901664","South Asia","Low income"
2010,"ALBANIA","ALB",1.64276192996892,4094.34969883571,21.63144957,11.9,6.7,13.3,6.23899555,2913021,"99","95.1721612127179","Europe and Central Asia","Upper middle income"
2010,"ALGERIA","DZA",3.18435699969857,4495.92145548343,31.94215239,23.9,17.8,27.8,5.11716986,35856344,"95","86.9781332130706","Middle East and North Africa","Lower middle income"
2010,"ANDORRA","AND",7.22359093387771,48237.8911734423,11.25750375,4.2,2.2,4.6,7.87839746,71519,"99","99.9999980744897","Europe and Central Asia","High income"
2010,"ANGOLA","AGO",0.975916771759854,3496.78479608032,28.62971853,75.7,36.6,120,2.69509959,23364185,"62","41.0607923213848","Sub-Saharan Africa","Lower middle income"
2010,"ANTIGUA AND BARBUDA","ATG",5.43555633350837,13404.5160161036,16.89122391,8.3,5.8,10.1,5.37907028,85695,"98","97.3536211069896","Latin America and Caribbean","High income"
2010,"ARGENTINA","ARG",4.09984413971278,10385.9644319555,13.7363052,12.9,7.6,14.5,9.44546413,40788453,"95","92.3128297975777","Latin America and Caribbean","Upper middle income"
2010,"ARMENIA","ARM",1.47188348205694,3143.02948216523,35.39548583,16.6,9.7,18.5,9.23538303,2946293,"97","90.886816268627","Europe and Central Asia","Upper middle income"
2010,"AUSTRALIA","AUS",17.9737515176961,52132.469607935,6.785235613,4,2.8,4.8,8.42325497,22031750,"94","99.9957392296434","East Asia and Pacific","High income"
2010,"AUSTRIA","AUT",8.36562481018494,46903.7615854354,15.7085395,3.6,2.5,4.3,10.22101879,8363404,"80","99.9858342390638","Europe and Central Asia","High income"
2010,"AZERBAIJAN","AZE",2.68511249642712,5843.5337683582,25.08164307,32.5,20.4,37.3,2.48996639,9054332,"89","84.7653165005318","Europe and Central Asia","Upper middle income"
2010,"BAHAMAS, THE","BHS",5.30283546582653,27046.6576651879,15.43740141,13.3,8,15.4,5.256392,373272,"94","92.8382766265486","Latin America and Caribbean","High income"
2010,"BAHRAIN","BHR",21.394806553811,21186.8143292279,63.75377018,7.3,3.1,8.5,4.08934975,1213645,"99","99.9826918820809","Middle East and North Africa","High income"
2010,"BANGLADESH","BGD",0.340233253415489,776.859576940281,56.41649854,38.9,29.4,49.2,2.74091864,148391139,"88","40.6418673210665","South Asia","Lower middle income"
2010,"BARBADOS","BRB",5.39294021717368,16489.7958217909,19.93972371,13.8,10,15,6.77398682,274711,"85","93.854778577979","Latin America and Caribbean","High income"
2010,"BELARUS","BLR",6.47878137074492,6034.67885177216,22.09841962,4.3,1.8,5.6,5.65694046,9483836,"99","95.0871819797059","Europe and Central Asia","Upper middle income"
2010,"BELGIUM","BEL",9.80881615729526,44184.946353965,16.88463686,3.7,2.3,4.5,10.2022934,10895586,"95","99.4861223783122","Europe and Central Asia","High income"
2010,"BELIZE","BLZ",1.64914655423991,5397.29157482319,18.69962284,16.2,10.2,18.9,5.63032866,322106,"98","85.6277083290934","Latin America and Caribbean","Upper middle income"
2010,"BENIN","BEN",0.510824490694717,1009.48949432994,41.36262362,69.6,34,109.1,2.99710202,9445710,"68","13.3574318576564","Sub-Saharan Africa","Lower middle income"
2010,"BHUTAN","BTN",0.699034465554289,2194.12587023264,39.72804014,34.1,22.5,42.4,3.55879498,705516,"95","62.6289580941062","South Asia","Lower middle income"
2010,"BOLIVIA","BOL",1.43811128924503,1922.05866181583,30.99186302,33.2,21.9,41.9,5.20230532,10223270,"88","48.08580986572","Latin America and Caribbean","Lower middle income"
2010,"BOSNIA AND HERZEGOVINA","BIH",5.46891071526031,4506.93366912263,34.36075673,6.3,5.1,7.2,9.01888275,3811088,"91","95.2184859381301","Europe and Central Asia","Upper middle income"
2010,"BOTSWANA","BWA",1.61197018259147,6041.73205119653,26.14248485,48.3,25.7,62.6,6.26718187,2091664,"96","66.8374083076875","Sub-Saharan Africa","Upper middle income"
2010,"BRAZIL","BRA",2.02660566892286,11249.2937410718,14.0825006,16.7,11.1,18.6,7.94516611,196353492,"99","81.854207204088","Latin America and Caribbean","Upper middle income"
2010,"BRUNEI DARUSSALAM","BRN",18.1056575761325,34609.6999594925,6.393486339,7.9,4.8,9.7,2.27826095,396053,"94","84.8812005903915","East Asia and Pacific","High income"
2010,"BULGARIA","BGR",6.04962491881996,6862.75768747522,22.7674356,9.1,5.1,10.8,7.09571743,7395599,"97","85.9314025243646","Europe and Central Asia","Upper middle income"
2010,"BURKINA FASO","BFA",0.129944787580944,627.270395424425,54.03992338,68.3,31.1,121.9,5.23958349,16116845,"92","17.5931679395271","Sub-Saharan Africa","Low income"
2010,"BURUNDI","BDI",0.0354239062608714,222.660583148072,33.17087207,59.4,28.2,91,11.27638912,9126605,"92","45.930071391903","Sub-Saharan Africa","Low income"
2010,"CABO VERDE","CPV",1.03738977613716,3500.97745196395,34.11058979,22.3,16,26.5,4.47555733,521212,"97","59.6818525468582","Sub-Saharan Africa","Lower middle income"
2010,"CAMBODIA","KHM",0.357906397952816,782.695738661233,28.99049207,37.4,21.3,43.9,6.91169977,14363532,"90","38.0261681716986","East Asia and Pacific","Lower middle income"
2010,"CAMEROON","CMR",0.352871883318855,1383.81386416854,59.4274705,68.6,31.5,110.2,3.57742167,19878036,"79","40.2024295671356","Sub-Saharan Africa","Lower middle income"
2010,"CANADA","CAN",15.7945376619227,47562.0834253057,7.884019371,5,3.7,5.7,10.70161057,34004889,"90","99.5126201247374","North America","High income"
2010,"CENTRAL AFRICAN REPUBLIC","CAF",0.0375101903041308,459.776981626072,43.8549236,91.1,36.2,129.8,3.56699872,4660067,"53","17.9009514050434","Sub-Saharan Africa","Low income"
2010,"CHAD","TCD",0.100044330567654,896.876704216275,57.53023063,84.4,38,148.4,4.06023312,11894727,"46","10.6144009031658","Sub-Saharan Africa","Low income"
2010,"CHILE","CHL",4.10188399757659,12767.7820406263,21.13580447,7.4,5.3,8.7,6.77489376,17004162,"93","97.102236534404","Latin America and Caribbean","High income"
2010,"CHINA","CHN",6.33541976743751,4550.47392427081,53.28667651,12.5,8.4,15.8,4.23068333,1337705000,"99","75.801047562911","East Asia and Pacific","Upper middle income"
2010,"COLOMBIA","COL",1.43131795380357,6392.75802564032,25.0816067,15.8,10,18.4,7.07130098,44816108,"88","84.314142164482","Latin America and Caribbean","Upper middle income"
2010,"COMOROS","COM",0.255783325000305,1384.06328381602,17.12974601,54.6,33.4,72.7,4.99181557,656024,"72","34.3266154418974","Sub-Saharan Africa","Lower middle income"
2010,"CONGO, DEM. REP.","COD",0.0399736368901706,324.827725981436,35.88052514,83.9,32.5,114.6,3.86035633,66391257,"66","19.4987268908352","Sub-Saharan Africa","Low income"
2010,"CONGO, REP.","COG",1.22205762926656,2962.76247997267,38.03920932,43.2,22.7,62.4,1.85172856,4437884,"75","16.0823109686403","Sub-Saharan Africa","Lower middle income"
2010,"COSTA RICA","CRI",1.53723769279563,8147.24398481032,18.10693704,9.1,6.6,10.5,8.02937698,4622252,"83","95.9220323752263","Latin America and Caribbean","Upper middle income"
2010,"COTE D'IVOIRE","CIV",0.300690689914348,1654.17795875222,50.91110203,74.9,39.5,106.4,4.41580915,21120042,"64","27.5606050351637","Sub-Saharan Africa","Lower middle income"
2010,"CROATIA","HRV",4.52977084699612,13664.2088391124,21.21532951,4.7,3.6,5.5,8.0207386,4295427,"96","96.7812677036741","Europe and Central Asia","High income"
2010,"CUBA","CUB",2.48972203595315,5275.53260105122,18.07248309,5.1,2.9,6.4,10.6880827,11290417,"99","86.2315854351565","Latin America and Caribbean","Upper middle income"
2010,"CYPRUS","CYP",6.9916773333475,31105.02734375,18.80666676,2.9,2,3.5,6.51767111,1129686,"87","99.5722799385489","Europe and Central Asia","High income"
2010,"CZECHIA","CZE",10.8996688118949,19960.0684872157,20.48778139,2.7,1.7,3.4,6.87530422,10474410,"98","99.1302073873726","Europe and Central Asia","High income"
2010,"DENMARK","DNK",8.67475665065938,58041.3984363385,13.29038466,3.5,2.9,4.1,10.60774708,5547683,"85","99.5972315674596","Europe and Central Asia","High income"
2010,"DJIBOUTI","DJI",0.564730814546143,1227.82085311429,42.00889257,62.5,37.5,76.5,3.06150365,919199,"85","54.9325895806101","Middle East and North Africa","Lower middle income"
2010,"DOMINICA","DMA",2.50890844302233,7182.40020254419,17.6150034,21.4,19.6,24.6,5.15711927,68755,"99","76.5993821054773","Latin America and Caribbean","Upper middle income"
