Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,20085,..
1960,YR1960,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,9443,..
1960,YR1960,Antigua and Barbuda,ATG,..,..,..,62.9,..,86.3,..,..,..,0.294,..,55342,..
1960,YR1960,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,54608,..
1960,YR1960,Australia,AUS,..,1810.59744300336,..,20.3,..,24.8,..,..,..,..,18606562979.2829,10276477,..
1960,YR1960,Austria,AUT,..,935.460426850415,..,37.3,23.6,42.9,..,..,..,1.2,6592693841.18495,7047539,..
1960,YR1960,"Bahamas, The",BHS,..,1483.00368182207,..,..,..,..,..,..,..,0.496,169803921.568627,114500,..
1960,YR1960,Bahrain,BHR,..,..,..,133,..,197.7,..,..,..,0.45,..,160691,..
1960,YR1960,Barbados,BRB,..,..,..,70.1,..,84.5,..,..,..,0.329,..,232550,..
1960,YR1960,Belgium,BEL,..,1273.69165910289,..,29.4,20,33.8,..,..,..,1.3,11658722590.99,9153489,..
1960,YR1960,Bermuda,BMU,..,1902.40211884937,..,..,..,..,..,..,..,..,84466654.0769119,44400,..
1960,YR1960,British Virgin Islands,VGB,..,..,..,68.9,..,83.6,..,..,..,..,..,7850,..
1960,YR1960,Brunei Darussalam,BRN,..,..,..,84,..,122.5,..,..,..,..,..,85346,..
1960,YR1960,Canada,CAN,..,2259.28830170587,..,27.8,..,32.6,..,..,..,..,40462398501.8858,17909356,..
1960,YR1960,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,8473,..
