Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,"Venezuela, RB",VEN,..,939.560806105492,..,58.9,..,79.5,..,..,..,0.666,7663938303.07172,8156937,..
1961,YR1961,"Venezuela, RB",VEN,..,954.355361285973,..,57.3,..,76.9,..,..,..,..,8067267030.61863,8453106,..
1962,YR1962,"Venezuela, RB",VEN,..,1006.87997715942,..,55.9,..,74.7,..,..,..,..,8814309884.21165,8754082,940
1963,YR1963,"Venezuela, RB",VEN,..,1060.57032394876,..,54.7,..,72.8,..,..,..,..,9608717288.17057,9059953,980
1964,YR1964,"Venezuela, RB",VEN,..,874.199411450159,..,53.7,..,71.2,..,..,..,..,8192413793.10345,9371333,950
1965,YR1965,"Venezuela, RB",VEN,..,869.906867323502,..,52.8,..,69.8,..,..,..,0.815,8427777777.77778,9688138,890
1966,YR1966,"Venezuela, RB",VEN,..,877.196049354598,..,51.9,..,68.4,..,..,..,..,8781333333.33333,10010685,820
1967,YR1967,"Venezuela, RB",VEN,..,894.683817771574,..,51,..,67.1,..,..,..,..,9250000000,10338848,840
1968,YR1968,"Venezuela, RB",VEN,..,940.201419857183,..,50.2,..,65.8,..,..,..,..,10034444444.4444,10672654,900
1969,YR1969,"Venezuela, RB",VEN,..,934.047607407377,..,49.2,..,64.3,..,..,..,..,10285111111.1111,11011335,910
1970,YR1970,"Venezuela, RB",VEN,..,1018.10898364984,..,48.1,..,62.7,..,..,..,0.883,11561111111.1111,11355475,990
1971,YR1971,"Venezuela, RB",VEN,..,1109.42701027646,..,46.9,..,60.9,..,..,..,..,12986590909.0909,11705674,1020
1972,YR1972,"Venezuela, RB",VEN,..,1158.85976459775,..,45.7,..,59,..,..,..,..,13977727272.7273,12061621,1120
1973,YR1973,"Venezuela, RB",VEN,..,1371.09457785804,..,44.4,..,57.1,..,..,..,..,17035581395.3488,12424804,1340
1974,YR1974,"Venezuela, RB",VEN,..,2039.73753440923,..,43.2,..,55.3,..,..,..,0.904,26100930232.5581,12796220,1720
1975,YR1975,"Venezuela, RB",VEN,..,2084.38406998752,..,42,..,53.6,..,..,..,0.904,27464651162.7907,13176387,2140
1976,YR1976,"Venezuela, RB",VEN,..,2316.0309220299,..,40.7,..,51.7,..,..,..,0.904,31419534883.7209,13566112,2480
1977,YR1977,"Venezuela, RB",VEN,..,2592.91438924606,..,39.4,..,49.9,..,..,..,..,36210697674.4186,13965250,2600
1978,YR1978,"Venezuela, RB",VEN,..,2735.4338845444,..,38.1,..,48,..,..,..,..,39316279069.7674,14372959,2790
1979,YR1979,"Venezuela, RB",VEN,..,3266.78534648512,..,36.7,..,46,..,..,..,..,48310930232.5581,14788523,3180
1980,YR1980,"Venezuela, RB",VEN,..,3886.57395632113,..,35.3,..,44.1,..,..,..,0.83,59116511627.907,15210443,3600
1981,YR1981,"Venezuela, RB",VEN,..,4241.31187246499,..,34,..,42.3,..,..,..,0.996,66327441860.4651,15638426,4090
1982,YR1982,"Venezuela, RB",VEN,..,4214.67163155992,..,32.8,..,40.6,..,..,..,0.833,67736744186.0465,16071654,4030
1983,YR1983,"Venezuela, RB",VEN,..,4091.9401704177,..,31.7,..,39,..,..,..,..,67556279069.7674,16509596,3770
1984,YR1984,"Venezuela, RB",VEN,..,3531.34649518396,..,30.7,..,37.6,..,..,..,1.436,59867743467.9335,16953234,3620
1985,YR1985,"Venezuela, RB",VEN,..,3560.76222244288,..,29.7,..,36.3,..,..,..,1.196,61965466666.6667,17402304,3500
1986,YR1986,"Venezuela, RB",VEN,..,3388.19536422075,..,28.7,..,34.9,..,..,..,1.399,60516123711.3402,17860872,3590
1987,YR1987,"Venezuela, RB",VEN,..,2620.43420440609,..,27.8,..,33.6,..,..,..,1.401,48029034482.7586,18328655,3340
1988,YR1988,"Venezuela, RB",VEN,..,3203.40144542503,..,26.7,..,32.3,..,..,..,1.6,60226413793.1034,18800770,3380
1989,YR1989,"Venezuela, RB",VEN,..,2258.67961450397,..,25.7,12.5,30.9,..,..,..,1.695,43536709104.0115,19275292,2550
1990,YR1990,"Venezuela, RB",VEN,5.14567193194691,2461.03935458171,20.24931985,24.7,12.8,29.6,..,..,..,1.564,48606952194.7752,19750579,2650
1991,YR1991,"Venezuela, RB",VEN,4.99316382195897,2642.78054146098,..,23.9,13.6,28.6,..,..,..,..,53453444786.6256,20226214,2680
1992,YR1992,"Venezuela, RB",VEN,4.98094221186668,2918.60744646172,..,23.3,14.4,27.8,..,..,..,..,60416519619.7904,20700461,2850
1993,YR1993,"Venezuela, RB",VEN,5.07214211155247,2835.68756917898,..,22.9,14.4,27.2,..,..,..,..,60037460783.4143,21172100,2830
1994,YR1994,"Venezuela, RB",VEN,4.92259701833104,2699.46478800824,..,22.5,13.7,26.8,..,..,..,..,58418666666.6667,21640833,2720
1995,YR1995,"Venezuela, RB",VEN,5.15832653542366,3500.63267700734,20.1194563,22.1,12.9,26.3,..,..,..,1.94,77389487771.5469,22107286,3020
1996,YR1996,"Venezuela, RB",VEN,5.39760793297569,3125.23778765472,..,21.5,12.1,25.5,..,..,..,..,70543211119.099,22572110,3080
1997,YR1997,"Venezuela, RB",VEN,5.53835104332442,3725.98811824077,..,20.7,11.5,24.5,..,..,..,..,85837678559.2469,23037561,3440
1998,YR1998,"Venezuela, RB",VEN,5.50124641446567,3886.03925411507,..,19.8,11.3,23.4,..,..,..,..,91336763255.6157,23503819,3390
1999,YR1999,"Venezuela, RB",VEN,5.23465637694559,4087.82934763162,..,19,11.2,22.4,..,..,..,..,97972842461.5131,23966960,3540
2000,YR2000,"Venezuela, RB",VEN,5.38391022759422,4795.63474784068,21.46914658,18.3,10.9,21.5,..,7.33427238,351.70773315,..,117146466003.235,24427729,4080
2001,YR2001,"Venezuela, RB",VEN,5.45817089997216,4940.11390285531,..,17.8,10.4,20.9,..,7.85063791,387.64743042,1.9475,122911036746.163,24880203,4560
2002,YR2002,"Venezuela, RB",VEN,5.55635365761753,3667.20019363107,..,17.4,10,20.3,..,7.71829367,283.02047729,..,92893587733.6549,25330929,3950
2003,YR2003,"Venezuela, RB",VEN,5.26607894204137,3243.36880476351,..,16.9,10,19.8,..,7.50703812,243.20851135,..,83620628582.1082,25782029,3460
2004,YR2004,"Venezuela, RB",VEN,5.32302926682947,4287.63157891057,..,16.4,10.3,19.1,..,6.78156996,290.81988525,..,112451400422.982,26226927,4070
2005,YR2005,"Venezuela, RB",VEN,5.5261010203502,5456.32242533255,20.93139471,15.9,10.5,18.5,..,6.05508995,330.34594727,..,145513489651.872,26668785,4930
2006,YR2006,"Venezuela, RB",VEN,5.44357091988619,6769.86841430715,..,15.4,10.4,17.9,..,8.0986166,548.26531982,..,183477522123.894,27102081,6070
2007,YR2007,"Venezuela, RB",VEN,5.17304625665806,8369.23526829668,..,15,10.3,17.5,..,7.78344536,651.41546631,..,230364012575.687,27525097,7550
2008,YR2008,"Venezuela, RB",VEN,5.40964428333197,11310.7781703527,..,14.8,10.1,17.2,..,6.40868616,724.06237793,..,315953388510.678,27933833,9300
2009,YR2009,"Venezuela, RB",VEN,5.38643327219689,11641.7991472317,..,14.7,10.2,17.1,..,7.54578352,877.48358154,..,329787628928.471,28327892,10270
2010,YR2010,"Venezuela, RB",VEN,5.71483455593382,13692.9149666211,23.04711653,14.7,10.5,17.1,..,6.83106947,936.85351563,..,393192354510.653,28715022,11690
2011,YR2011,"Venezuela, RB",VEN,5.5003686225388,10877.1123638816,24.33177624,14.8,11,17.2,..,7.1770978,780.71722412,..,316482190800.364,29096159,11890
2012,YR2012,"Venezuela, RB",VEN,6.1461208602821,12937.9275972349,22.43318785,14.9,11.4,17.3,..,6.44814777,834.31451416,..,381286237847.667,29470426,12660
2013,YR2013,"Venezuela, RB",VEN,6.04673480188247,12433.9807853398,22.52866596,15.1,11.4,17.6,..,5.5941329,696.19317627,..,371005379786.566,29838021,11950
2014,YR2014,"Venezuela, RB",VEN,5.93629544714916,15975.7293753361,21.94482038,15.4,11.3,18,..,5.77645445,695.52032471,..,482359318767.703,30193258,13010
2015,YR2015,"Venezuela, RB",VEN,5.34321708069607,..,22.22732307,16.5,14.7,19.1,..,4.34628868,490.22262573,..,..,30529716,..
2016,YR2016,"Venezuela, RB",VEN,4.89458472114406,..,21.83009872,21.1,15,24.2,..,3.91797328,367.72561646,..,..,30741464,..
2017,YR2017,"Venezuela, RB",VEN,4.57368123535075,..,21.45612493,21.1,15,24.2,..,4.51975679,366.64205933,1.73,..,30563433,..
2018,YR2018,"Venezuela, RB",VEN,4.36396145291438,..,21.67255829,21.1,15,24.2,..,2.41691327,165.34623718,..,..,29825653,..
2019,YR2019,"Venezuela, RB",VEN,3.71059907013341,..,21.74698878,21.1,15,24.2,..,2.18563724,113.25978851,..,..,28971683,..
2020,YR2020,"Venezuela, RB",VEN,2.54502797831961,..,..,21.1,15,24.2,..,3.81606245,142.45858765,..,..,28490453,..
2021,YR2021,"Venezuela, RB",VEN,..,..,..,21.1,15,24.2,..,..,..,..,..,28199867,..
2022,YR2022,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,28301696,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,
