Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,Albania,ALB,..,..,..,..,..,..,..,..,..,0.276,..,1608800,..
1960,YR1960,Argentina,ARG,..,..,..,..,..,..,..,..,..,1.351,..,20349744,..
1960,YR1960,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,1904148,..
1960,YR1960,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,3894500,..
1960,YR1960,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,8198000,..
1960,YR1960,Belize,BLZ,..,307.128628864002,..,..,..,..,..,..,..,0.242,28072478.0640563,91403,..
1960,YR1960,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,3262539,..
1960,YR1960,Botswana,BWA,..,59.2971223983495,..,113.6,..,166.4,..,..,..,0.042,30411418.6788295,512865,..
1960,YR1960,Brazil,BRA,..,232.998762450445,..,127.7,..,169.6,..,..,..,0.374,17030465539.3906,73092515,..
1960,YR1960,Bulgaria,BGR,..,..,..,45.1,..,55.4,..,..,..,1.405,..,7867374,..
1960,YR1960,China,CHN,..,89.5202179159242,..,..,..,..,..,..,..,..,59716251765.1756,667070000,..
1960,YR1960,Colombia,COL,..,256.962847377293,..,94.1,39.9,134.9,..,..,..,0.354,4031152977.24659,15687688,..
1960,YR1960,Costa Rica,CRI,..,376.968785602974,..,67.8,30.4,96,..,..,..,0.391,507513829.994855,1346302,..
1960,YR1960,Cuba,CUB,..,..,..,42.8,..,54,..,..,..,0.946,..,7267395,..
1960,YR1960,Dominica,DMA,..,..,..,83.9,..,138.4,..,..,..,0.133,..,59379,..
1960,YR1960,Dominican Republic,DOM,..,203.879750917293,..,101.8,..,147.2,..,..,..,0.121,672399700,3298021,..
1960,YR1960,Ecuador,ECU,..,448.114881825904,..,118.6,59.5,174.7,..,..,..,0.396,2069465326.42335,4618158,..
1960,YR1960,El Salvador,SLV,..,..,..,124.9,..,184.8,..,..,..,0.187,..,2779327,..
1960,YR1960,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,0.167,..,267351,..
1960,YR1960,Fiji,FJI,..,279.534497756784,..,58.4,..,78.7,..,..,..,0.495,112328422.113084,401841,..
1960,YR1960,Gabon,GAB,..,275.585338313801,..,..,..,223.2,..,..,..,0.117,141468977.570007,513340,..
1960,YR1960,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,3645600,..
1960,YR1960,Grenada,GRD,..,..,..,67.1,..,101.5,..,..,..,0.222,..,93772,..
1960,YR1960,Guatemala,GTM,..,252.756171165062,..,148.1,..,221.9,..,..,..,0.184,1043599900,4128880,..
1960,YR1960,Indonesia,IDN,..,..,..,149.4,57.9,223.9,..,..,..,0.021,..,88382881,..
1960,YR1960,Iraq,IRQ,..,237.684587706533,..,128.5,..,190.6,..,..,..,0.195,1683918769.46355,7084678,..
1960,YR1960,Jamaica,JAM,..,425.653769425095,..,60.7,34.8,82.2,..,..,..,0.386,699064380.793686,1642331,..
1960,YR1960,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,9319283,..
1960,YR1960,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,947000,..
1960,YR1960,Libya,LBY,..,..,..,162.4,..,277.1,..,..,..,0.152,..,1426986,..
1960,YR1960,Malaysia,MYS,..,244.611028982719,..,68.3,20.7,94.2,..,..,..,0.143,1916229475.84631,7833782,..
1960,YR1960,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,91650,..
1960,YR1960,Marshall Islands,MHL,..,..,..,85.5,..,121.3,..,..,..,..,..,15374,..
1960,YR1960,Mauritius,MUS,..,..,..,71.5,..,105.7,..,..,..,0.215,..,676683,..
1960,YR1960,Mexico,MEX,..,359.54505933555,..,106.7,52,155.2,..,..,..,..,13039999986.96,36268055,..
1960,YR1960,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,2074015,..
1960,YR1960,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,480579,..
1960,YR1960,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,590181,..
