"year","country_name","country_code","co2_per_capita","gdp_per_capita","pm2_5","mortality_rate_infant","mortality_rate_neonatal","mortality_rate_under_5","health_expenditure_percent_of_gdp","population","immunization","basic_sanitation","birth_rate","region","income_level","mortality_rate_neonatal_cat","mortality_rate_under_5_cat","mortality_count_under_5","mortality_count_neonatal","live_births"
2010,"VENEZUELA, RB","VEN",5.71483455593382,13692.9149666211,23.04711653,14.7,10.5,17.1,6.83106947,28715022,"79","91.8520804597885",20.805,"Latin America and Caribbean","Not classified","Low","Low",10215814159.341,6272868343.455,597416032.71
2010,"AFGHANISTAN","AFG",0.304230215945755,554.59473461788,51.82178913,64.2,47.4,87.8,8.56967163,28189672,"62","35.4774709901664",40.602,"South Asia","Low income","High","High",100492110091.363,54252004764.5856,1144557062.544
2010,"ALBANIA","ALB",1.64276192996892,4094.34969883571,21.63144957,11.9,6.7,13.3,6.23899555,2913021,"99","95.1721612127179",11.92,"Europe and Central Asia","Upper middle income","High","Low",461818697.256,232645509.144,34723210.32
2010,"ALGERIA","DZA",3.18435699969857,4495.92145548343,31.94215239,23.9,17.8,27.8,5.11716986,35856344,"95","86.9781332130706",24.458,"Middle East and North Africa","Lower middle income","High","High",24379890031.1456,15610145415.6256,876974461.552
2010,"ANDORRA","AND",7.22359093387771,48237.8911734423,11.25750375,4.2,2.2,4.6,7.87839746,71519,"99","99.9999980744897",9.8,"Europe and Central Asia","High income","High","High",3224076.52,1541949.64,700886.2
2010,"ANGOLA","AGO",0.975916771759854,3496.78479608032,28.62971853,75.7,36.6,120,2.69509959,23364185,"62","41.0607923213848",44.97,"Sub-Saharan Africa","Lower middle income","High","Low",126082487934,38455158819.87,1050687399.45
2010,"ANTIGUA AND BARBUDA","ATG",5.43555633350837,13404.5160161036,16.89122391,8.3,5.8,10.1,5.37907028,85695,"98","97.3536211069896",14.715,"Latin America and Caribbean","High income","High","Low",12736119.4425,7313811.165,1261001.925
2010,"ARGENTINA","ARG",4.09984413971278,10385.9644319555,13.7363052,12.9,7.6,14.5,9.44546413,40788453,"95","92.3128297975777",17.87,"Latin America and Caribbean","Upper middle income","High","Low",10568899999.095,5539561378.836,728889655.11
2010,"ARMENIA","ARM",1.47188348205694,3143.02948216523,35.39548583,16.6,9.7,18.5,9.23538303,2946293,"97","90.886816268627",13.898,"Europe and Central Asia","Upper middle income","High","Low",757530232.109,397191527.1058,40947580.114
2010,"AUSTRALIA","AUS",17.9737515176961,52132.469607935,6.785235613,4,2.8,4.8,8.42325497,22031750,"94","99.9957392296434",13.7,"East Asia and Pacific","High income","High","High",1448807880,845137930,301834975
2010,"AUSTRIA","AUT",8.36562481018494,46903.7615854354,15.7085395,3.6,2.5,4.3,10.22101879,8363404,"80","99.9858342390638",9.4,"Europe and Central Asia","High income","High","High",338048789.68,196539994,78615997.6
2010,"AZERBAIJAN","AZE",2.68511249642712,5843.5337683582,25.08164307,32.5,20.4,37.3,2.48996639,9054332,"89","84.7653165005318",18.3,"Europe and Central Asia","Upper middle income","High","High",6180396479.88,3380163222.24,165694275.6
2010,"BAHAMAS, THE","BHS",5.30283546582653,27046.6576651879,15.43740141,13.3,8,15.4,5.256392,373272,"94","92.8382766265486",14.858,"Latin America and Caribbean","High income","High","Low",85409560.7904,44368603.008,5546075.376
2010,"BAHRAIN","BHR",21.394806553811,21186.8143292279,63.75377018,7.3,3.1,8.5,4.08934975,1213645,"99","99.9826918820809",15.845,"Middle East and North Africa","High income","High","High",163456742.7125,59613635.5775,19230205.025
2010,"BANGLADESH","BGD",0.340233253415489,776.859576940281,56.41649854,38.9,29.4,49.2,2.74091864,148391139,"88","40.6418673210665",21.379,"South Asia","Lower middle income","High","High",156084744705.505,93270152324.0214,3172454160.681
2010,"BARBADOS","BRB",5.39294021717368,16489.7958217909,19.93972371,13.8,10,15,6.77398682,274711,"85","93.854778577979",12.115,"Latin America and Caribbean","High income","Low","Low",49921856.475,33281237.65,3328123.765
2010,"BELARUS","BLR",6.47878137074492,6034.67885177216,22.09841962,4.3,1.8,5.6,5.65694046,9483836,"99","95.0871819797059",11.4,"Europe and Central Asia","Upper middle income","Low","High",605448090.24,194608314.72,108115730.4
2010,"BELGIUM","BEL",9.80881615729526,44184.946353965,16.88463686,3.7,2.3,4.5,10.2022934,10895586,"95","99.4861223783122",11.9,"Europe and Central Asia","High income","High","High",583458630.3,298212188.82,129657473.4
2010,"BELIZE","BLZ",1.64914655423991,5397.29157482319,18.69962284,16.2,10.2,18.9,5.63032866,322106,"98","85.6277083290934",22.533,"Latin America and Caribbean","Upper middle income","Low","Low",137176474.0122,74031747.8796,7258014.498
2010,"BENIN","BEN",0.510824490694717,1009.48949432994,41.36262362,69.6,34,109.1,2.99710202,9445710,"68","13.3574318576564",39.332,"Sub-Saharan Africa","Lower middle income","High","Low",40532686430.052,12631634634.48,371518665.72
2010,"BHUTAN","BTN",0.699034465554289,2194.12587023264,39.72804014,34.1,22.5,42.4,3.55879498,705516,"95","62.6289580941062",19.541,"South Asia","Lower middle income","High","High",584547097.8144,310195983.51,13786488.156
2010,"BOLIVIA","BOL",1.43811128924503,1922.05866181583,30.99186302,33.2,21.9,41.9,5.20230532,10223270,"88","48.08580986572",25.749,"Latin America and Caribbean","Lower middle income","High","High",11029713229.737,5764933645.137,263238979.23
2010,"BOSNIA AND HERZEGOVINA","BIH",5.46891071526031,4506.93366912263,34.36075673,6.3,5.1,7.2,9.01888275,3811088,"91","95.2184859381301",9.492,"Europe and Central Asia","Upper middle income","High","High",260458900.5312,184491721.2096,36174847.296
2010,"BOTSWANA","BWA",1.61197018259147,6041.73205119653,26.14248485,48.3,25.7,62.6,6.26718187,2091664,"96","66.8374083076875",27.898,"Sub-Saharan Africa","Upper middle income","High","High",3652912966.2272,1499678326.3904,58353242.272
2010,"BRAZIL","BRA",2.02660566892286,11249.2937410718,14.0825006,16.7,11.1,18.6,7.94516611,196353492,"99","81.854207204088",15.492,"Latin America and Caribbean","Upper middle income","Low","Low",56579494343.9904,33765182108.5104,3041908298.064
2010,"BRUNEI DARUSSALAM","BRN",18.1056575761325,34609.6999594925,6.393486339,7.9,4.8,9.7,2.27826095,396053,"94","84.8812005903915",17.128,"East Asia and Pacific","High income","High","High",65800879.1048,32561259.7632,6783595.784
2010,"BULGARIA","BGR",6.04962491881996,6862.75768747522,22.7674356,9.1,5.1,10.8,7.09571743,7395599,"97","85.9314025243646",10.2,"Europe and Central Asia","Upper middle income","High","Low",814699185.84,384719059.98,75435109.8
2010,"BURKINA FASO","BFA",0.129944787580944,627.270395424425,54.03992338,68.3,31.1,121.9,5.23958349,16116845,"92","17.5931679395271",43.206,"Sub-Saharan Africa","Low income","High","Low",84884382978.033,21656310997.677,696344405.07
2010,"BURUNDI","BDI",0.0354239062608714,222.660583148072,33.17087207,59.4,28.2,91,11.27638912,9126605,"92","45.930071391903",46.691,"Sub-Saharan Africa","Low income","High","High",38777858579.005,12016874856.351,426130314.055
